story_id,title,epic_id,description,acceptance_criteria,validation_plan,technical_solution,priority,story_points
S011,Create Category-Based Session Definition,E04,"As a planner, I want category-based templates with weighted categories so that sessions can be auto-generated by focus area.","AC1 Definition supports type=category-based | AC2 At least one weighted category is required | AC3 Total weight validation enforces positive distribution","VP1 Validation tests for weighted inputs | VP2 Integration test with Session Category m2m rows | VP3 Negative test for zero or missing weights","TS1 Implement category-based branch in SessionDefinition logic | TS2 Validate and persist SessionCategory entries | TS3 Expose selection-ready payload for generator",P0,5
S012,Session Definition Reusability and Status,E04,"As an admin, I want to activate/deactivate definitions so that only approved templates are available for generation.","AC1 Definition has active status | AC2 Inactive definitions cannot generate new sessions | AC3 Existing sessions linked to inactive definition remain accessible","VP1 Unit tests for active flag enforcement | VP2 Integration test generation denial when inactive | VP3 Regression test session read unaffected","TS1 Add active flag checks in generation entry point | TS2 Keep relational link without cascade changes | TS3 Provide admin update method",P1,3
S013,Generate Session Snapshot From Definition,E05,"As a user, I want session generation to copy relevant definition fields so that historical sessions remain reproducible over time.","AC1 Generated session stores type/shuffle/repetition/infinite snapshot | AC2 Changing definition later does not alter historical session snapshot | AC3 Session references source definition id","VP1 Integration test generation snapshot content | VP2 Regression test after definition update | VP3 Data comparison test between definition and session","TS1 Implement SessionGenerator service in WorkoutUtil | TS2 Copy immutable runtime fields into Session record | TS3 Save source definition reference",P0,5
S014,Generate Session Exercise Timeline,E05,"As a user, I want generated sessions to contain ordered session exercises so that execution tracking is possible.","AC1 Session Exercise rows are created for each resolved exercise | AC2 Initial state is not started | AC3 Start/end fields are nullable at creation and set during execution","VP1 Integration test generated row count and order | VP2 State initialization test | VP3 Execution update test for timestamps","TS1 Implement resolver for set/category definition to exercise list | TS2 Bulk insert Session Exercise records with initial state | TS3 Add ordering metadata",P0,5
S015,Track Execution State Transitions,E05,"As an athlete, I want to mark each session exercise as done or skipped so that completion history is accurate.","AC1 Allowed transitions: not started->done/skipped | AC2 Re-opening done/skipped requires explicit admin action | AC3 End time is required when state becomes done or skipped","VP1 Unit tests for state machine transitions | VP2 Permission test for reopen action | VP3 Timestamp consistency test","TS1 Create state transition method in SessionExercise Script Include | TS2 Enforce transition rules with guard clauses | TS3 Use ACL checks for privileged transitions",P0,5
S016,Weighted Category Exercise Selection,E06,"As a user, I want category-based generation to respect configured weights so that session composition matches planned focus.","AC1 Selection probability aligns with weights over repeated runs | AC2 Exercises from empty categories are skipped with warning | AC3 Generation still succeeds when at least one category has exercises","VP1 Simulation test across multiple runs for distribution | VP2 Edge test empty category handling | VP3 Integration test with mixed data availability","TS1 Implement weighted random selector in WorkoutUtil | TS2 Add fallback logic for empty categories | TS3 Log generation warnings in structured format",P1,8
S017,Prevent Duplicate Exercise Overload in Session,E06,"As a user, I want duplicate exercise frequency controls so that generated sessions remain diverse.","AC1 Max duplicate threshold configurable per generation | AC2 Generator avoids duplicates until pool exhausted | AC3 When unavoidable, duplicates are flagged in metadata","VP1 Unit tests for threshold behavior | VP2 Small pool edge-case tests | VP3 Metadata output verification","TS1 Add duplicate-control algorithm in generation service | TS2 Track already selected exercises per run | TS3 Persist duplicate flag in Session Exercise extension field",P2,5
S018,Preview Category-Based Session Before Save,E06,"As a coach, I want a preview mode for generated exercises so that I can review composition before persisting a session.","AC1 Preview returns ordered exercise list without DB write | AC2 Preview includes rationale metadata (category/weight source) | AC3 User can confirm preview to create actual session","VP1 API test preview no-write guarantee | VP2 Metadata correctness test | VP3 Confirm-and-create flow integration test","TS1 Implement dry-run mode in SessionGenerator | TS2 Return transient payload with trace metadata | TS3 Add confirm endpoint that reuses resolved payload",P1,5
S019,Compute Session Completion Metrics,E07,"As a user, I want session-level completion metrics so that I can track adherence over time.","AC1 Completion percent computed from done/skipped/not started counts | AC2 Sessions with zero exercises return 0 percent safely | AC3 Metrics available in session detail API","VP1 Unit tests for metric formula | VP2 Edge case tests empty session | VP3 Integration test metrics exposure","TS1 Add metrics helper in WorkoutUtil | TS2 Compute on read or persist cached values | TS3 Include metrics DTO in Session response",P1,3
S020,Compute Exercise Performance Stats,E07,"As a user, I want exercise frequency and completion stats so that I can identify consistency and weak areas.","AC1 Stats include total appearances and done rate per exercise | AC2 Date range filters are supported | AC3 Unknown exercise references are excluded safely","VP1 Aggregation test over fixture sessions | VP2 Date filter boundary tests | VP3 Data quality test for orphan links","TS1 Build aggregation query over Session Exercise table | TS2 Add optional date filters | TS3 Return paginated stats endpoint",P1,5
S021,Expose Dashboard-Friendly Summary Endpoint,E07,"As a frontend developer, I want a compact summary endpoint so that portal or UI Builder dashboards can render quickly.","AC1 Endpoint returns key KPIs in single payload | AC2 Response time target met on baseline dataset | AC3 Endpoint respects user ACL visibility","VP1 API contract test | VP2 Performance benchmark test | VP3 ACL visibility test with multiple roles","TS1 Add summary facade Script Include method | TS2 Reuse existing metrics helpers with minimal queries | TS3 Apply ACL-aware filtering",P2,5
S022,Enforce ACLs on Core Workout Tables,E08,"As a platform owner, I want CRUD operations protected by role-based ACLs so that unauthorized users cannot alter workout data.","AC1 Read/write/delete ACLs exist for core tables | AC2 Unauthorized role receives access denied | AC3 Authorized role can perform intended operations","VP1 ACL automated tests by role matrix | VP2 Negative tests unauthorized create/update/delete | VP3 Smoke test authorized workflows","TS1 Review and complete sys_security_acl definitions | TS2 Align Script Include calls with ACL assumptions | TS3 Document required roles",P0,5
S023,Standardize Script Include Error Handling,E08,"As a developer, I want consistent error objects and logging so that troubleshooting is faster and safer.","AC1 All core Script Include methods return consistent success/error schema | AC2 Errors include code, message, and context | AC3 Sensitive values are not logged","VP1 Unit tests for error schema compliance | VP2 Logging redaction tests | VP3 Regression tests for existing callers","TS1 Add shared error factory in GlobalUtil | TS2 Refactor core methods to use shared schema | TS3 Add lightweight logger helper with redaction",P1,5
S024,Add Regression Test Harness for Core Flows,E08,"As a team, we want repeatable regression tests for exercise-set-session lifecycle so that future refactors remain safe.","AC1 Harness covers create exercise, compose set, define session, generate session, execute state transitions | AC2 Tests runnable in local/dev instance workflow | AC3 Failures identify step and payload","VP1 Build end-to-end scripted test suite | VP2 Add seed data and teardown | VP3 Validate tests against known-good baseline","TS1 Implement server-side test utilities Script Include | TS2 Create test runner script for scoped app tables | TS3 Include deterministic fixture generation",P0,8
